Variable,Type,n_valid,Missing,Mean,SD,Min,Max
age,covariate,5420,0,67.40729704797047,5.178968200914604,54.69,82.7
bmi,covariate,5419,1,31.877138433092785,3.6787393847080274,22.109366984713247,52.179239099903256
sedentary,regression,5420,0,3.328094092636779,1.4544846292329006,0.0,5.8888779583328805
sf36,regression,5397,23,46.421647662660654,9.179606197410385,11.360144558736351,70.04160316827492
bdi,regression,5419,1,7.672264255397675,7.35271200393227,0.0,55.0
mmse,regression,5410,10,28.26044362292052,1.9796540879347293,11.0,30.0
chair_stand,regression,5419,1,14.246539952020669,5.842093132081741,0.0,42.0
DMT2,binary,5420,0,0.38062730627306274,0.48558589802268004,0.0,1.0
